,Catégorie,Produit,Prix Habituel,Prix,Description
435, Makanan   Bahan Masakan   Bumbu Masak   Kecap & Saus   Cooking Sauce , Lee Kum Kee White Vinegar 473Ml,Rp 35.200,Rp28.160,"KOMPOSISI :
Air, Beras, Gula.

PLU :
20108919"
436, Makanan   Bahan Masakan   Bumbu Masak   Kecap & Saus   Cooking Sauce , Lee Kum Kee Oyster Sauce (Sauce Tiram) 907G,Rp 61.800,Rp49.440,"KOMPOSISI :
Air, Gula, Ekstrak Tiram (Tiram Air, Garam), Garam, Penguat Rasa (Monotarium L-Glutamate), Pengental (Hidroksipropil dipati fosfat), Tepung Gandum, Pewarna Alami (karamel I).

PLU :
20052760"
437, Kesehatan & Kecantikan   Perawatan Diri   Popok Dewasa , Lifree Pants Light 6'S Extralarge,Rp 84.900,Rp69.900,"PLU :
20108877"
438, Ibu & Anak   Popok Bayi   Size M , Genki Moko Moko Pants 34+2'S Medium,Rp 62.500,Rp46.900,"PLU :
20108881"
439, Kesehatan & Kecantikan   Perawatan Diri   Popok Dewasa , Lifree Pants Light 10'S Medium,Rp 85.900,Rp69.900,"PLU :
20108875"
440, Kesehatan & Kecantikan   Kesehatan   Masker   Masker Sekali Pakai , Sensi Mask Duckbill Face Mask 50'S,Rp 147.000,Rp137.000,"PLU :
20108550"
441, Makanan   Cemilan & Biskuit   Kacang Kacangan , Dua Kelinci Fuzo Kuaci Coffee 150G,,Rp14.900,"KOMPOSISI :
""Biji Bunga Matahari (94.5%), Gula, Garam, Perisa Sintetik Kopi, Kopi Bubuk (0.003%).

PLU :
20108835"
442, Makanan   Bahan Masakan   Bumbu Masak   Kecap & Saus   Cooking Sauce , Lee Kum Kee Sweet & Sour Sauce 240G,Rp 49.000,Rp39.200,"KOMPOSISI :
Air, Gula Pasir, Sirup Glukosa, Konsentrat Jus Nanas, Pasta Tomat, Pati Jagung Modifikasi, Pengaturan Keasaman Asam Asetat Glasial, Garam, Paprika Oleoresin, Pewarna Beta Karoten CI 75130, Penstabil Gom Xantan. Mengandung Gandum, Kedelai.

PLU :
20031770"
443, Kesehatan & Kecantikan   Kesehatan   Masker   Masker Sekali Pakai , Sensi Mask Duckbill Face Mask 6'S,Rp 23.900,Rp19.900,"PLU :
20108549"
444, Kesehatan & Kecantikan   Perawatan Badan   Badan   Cologne & Parfum , Fres & Natural Fragrance Mist Hijab Fresh Green Mirage 100Ml,,Rp12.900,"PLU :
20085920"
445, Makanan   Cemilan & Biskuit   Keripik   Modern Snack , Chitato Snack Potato Chips Asli 68G,,Rp11.000,"KOMPOSISI :
kentang, minyak kelapa sawit,(mengandung penguat rasa Mononatrium Glutamat, Dinatrium Inosinat, Dinatrium Guanilat, Hidrolisat protein nabati, pewarna makanan karamel, Tartrazin CI 19140) dan antioksidan (TBHQ)

PLU :
20018765"
446, Minuman   Kopi   Kopi Bubuk/ Biji , Excelso Kopi Bubuk Arabica Gold 10X10g,Rp 28.000,Rp25.000,"CARA PENGGUNAAN :
Tuangkan 1 sendok makan bubuk kopi Excelso (10g) dan tambahkan air panas sekitar 180ml (90'C) lalu aduk rata.

KOMPOSISI :
Kopi Bubuk (100%)

TAKARAN PER KEMASAN :
10

TAKARAN PER SERVING :
10g

TAKARAN SAJI :
10g

PLU :
20108849"
447, Kesehatan & Kecantikan   Perawatan Rambut   Pewarna Rambut , Miranda Hair Color Ash Blonde 30 Ml X 2,Rp 14.200,Rp12.070,"PLU :
20107898"
448, Kesehatan & Kecantikan   Perawatan Rambut   Pewarna Rambut , Miranda Hair Color Natural Black 30 Ml X 2,Rp 14.200,Rp12.070,"PLU :
20013924"
449, Home & Living   Perlengkapan & Makanan Hewan   Makanan Hewan , Friskies Cat Food Seafood 450G,Rp 32.000,Rp28.000,"KOMPOSISI :
Sereal Biji utuh (jagung, gandum), Bubuk produk samping unggas, bubuk gluten jagung, bubuk kedelai, minyak nabati, vitamin, mineral (termasuk vitamin (A,D,E,K,B1,B2,B6,12), vitamin B3, vitamin B5, asam folat, vitamin B7, kalsium, kolin, klorin, tembaga, yodium, mangan, selenium, natrium, seng, zat besi, fosfor, kalium dan asam amino, perasa, daging ikan, pewarna ""

PLU :
20108297"
450, Kesehatan & Kecantikan   Perawatan Rambut   Vitamin Rambut , Miranda Hair Serum Kukui Nut Oil 100Ml,Rp 54.400,Rp46.240,"PLU :
20112928"
451, Kesehatan & Kecantikan   Perawatan Rambut   Pewarna Rambut , Miranda Hair Color Super Blue Bleaching 30mlX2,Rp 14.600,Rp12.410,"PLU :
20112925"
452, Kesehatan & Kecantikan   Perawatan Badan   Badan   Sabun Batang , Secret Clean Sabun Mandi Antiseptik 110g,Rp 6.200,Rp4.900,"PLU :
20112863"
453, Kesehatan & Kecantikan   Perawatan Badan   Badan   Cologne & Parfum , Secret Clean Parfum Higienis Antiseptik Sunny Day 100mL,Rp 13.200,Rp10.400,"PLU :
20112858"
454, Kesehatan & Kecantikan   Perawatan Badan   Badan   Cologne & Parfum , Secret Clean Parfum Higienis Antiseptik Lovely Day 100mL,Rp 13.200,Rp10.400,"PLU :
20112860"
455, Kesehatan & Kecantikan   Perawatan Badan   Tangan   Hand Sanitizer , Secret Clean Hand Sanitizer Gel Antiseptic 50mL,Rp 11.200,Rp8.800,"PLU :
20112864"
456, Kesehatan & Kecantikan   Perawatan Badan   Badan   Cologne & Parfum , Secret Clean Parfum Higienis Antiseptik Beautiful Day 100mL,Rp 13.200,Rp10.400,"PLU :
20112861"
457, Kesehatan & Kecantikan   Perawatan Badan   Badan   Cologne & Parfum , Secret Clean Parfum Higienis Antiseptik Colorful Day 100mL,Rp 13.200,Rp10.400,"PLU :
20112859"
458, Kesehatan & Kecantikan   Perawatan Badan   Badan   Cologne & Parfum , Secret Clean Parfum Higienis Antiseptik Happy Day 100mL,Rp 13.200,Rp10.400,"PLU :
20112862"
459, Kesehatan & Kecantikan   Perawatan Badan   Tangan   Hand Sanitizer , Secret Clean Hand Sanitizer Liquid Antiseptic 60mL,Rp 13.500,Rp10.700,"PLU :
20112865"
460, Makanan   Bahan Masakan   Bumbu Masak   Garam & Bumbu , Sasa Bon Tabur Level 35 40G,Rp 11.100,Rp9.100,"KOMPOSISI :
Cabe Kering, Garam, Rempah-rempah, Penguat Rasa, Gula, Minyak nabati, Bawang Putih

PLU :
20112752"
461, Makanan   Bahan Masakan   Bumbu Masak   Garam & Bumbu , Sasa Bon Tabur Level 20 35G,Rp 11.100,Rp9.100,"KOMPOSISI :
Cabe Kering, Garam, Rempah-rempah, Penguat Rasa, Gula, Minyak nabati, Bawang Putih

PLU :
20112751"
462, Kesehatan & Kecantikan   Kosmetik   Wajah   Krim , Kao Biore Uv Aqua Rich Watery Essence 15G,Rp 40.900,Rp29.900,"CARA PENGGUNAAN :
1.Keluarkan Biore UV Aqua Rich Watery Essence secukupnya. 2.Oleskan secara merata ke seluruh bagian kulit yang terkena sinar matahari. 3. Gunakan 20 menit sebelum beraktivitas, dan lakukan re-apply setiap 2 jam.

PLU :
20112619"
463, Kesehatan & Kecantikan   Perawatan Diri   Popok Dewasa , Confidence Adult Diapers Clasic Night 6'S Extralarge Bag,Rp 45.500,Rp43.900,"PLU :
20065462"
464, Ibu & Anak   Popok Bayi   Size S , Sweety Silver Pants 32'S Small,Rp 55.900,Rp52.500,"PLU :
20112586"
465, Makanan   Cemilan & Biskuit   Keripik   Modern Snack , Bon Cabe Snack Makaroni Level 15 150G,Rp 10.000,Rp8.900,"KOMPOSISI :
Makaroni, Bumbu Pedas level 15 ( Cabai Bubuk,Bawang Merah Goreng, Garam, Gula Kastor, Mononatrium Glutamat, Minyak Nabati, Bawang Puitih Bubuk, Bawang Bombai Bubuk, Dinatrium 5'-Inosinat, Dinatrium 5'-Guanilat, Ekstra Ragi) Minyak Nabati

PLU :
20112370"
466, Makanan   Cemilan & Biskuit   Keripik   Modern Snack , Bon Cabe Snack Makaroni Level 10 150G,Rp 10.000,Rp8.900,"KOMPOSISI :
Makaroni 91%, Bumbu Pedas level 10 (Maltodekstrin, garam, penguat rasa (mengandung mononatrium glutamat, dinatrium 5'-Inosinat, Dinatrium 5'-Guanilat), Cabai Bubuk, Gula Kastor, Bawang Putih Bubuk, Bawang Bombai bubuk),Minyak Nabati

PLU :
20112444"
467, Kesehatan & Kecantikan   Kosmetik   Wajah   Kapas , Garnier Light Complete Super Uv Spf 50 + Matte Finish 15Ml,Rp 37.900,Rp29.000,"CARA PENGGUNAAN :
Oleskan secara merata pada wajah & leher yang sudah dibersihkan. Hindari area mata. Gunakan setiap hari untuk perlindungan dari UV dan base make up mu.

OTHER DETAILS :
BARU! Garnier Light Complete Super UV Spot*-Proof Sunscreen. Berikan kulitmu PERLINDUNGAN GANDA dari paparan SINAR UV dan munculnya NODA HITAM*

PLU :
20112337"
468, Home & Living   Pembasmi Kuman & Pewangi   Pembasmi Serangga , Eagle Disinfectant Spray Eucalyptus 500mL,Rp 111.000,Rp88.000,"CARA PENGGUNAAN :
Di seprotkan ke ruangan kamar, kamar mandi, ruangan mobil, AC dll

OTHER DETAILS :
Disinfektan dengan bahan alami minyak eucalyptus dengan aroma yang menyegarkan dan menghilangkan bau tak sedap

PLU :
20112340"
469, Kesehatan & Kecantikan   Kesehatan   Masker   Masker Sekali Pakai , Pokana Kn95 Mask 2'S,Rp 26.900,Rp24.900,"CARA PENGGUNAAN :
Cara penggunaan : Tutup hidung & mulut dengan masker dan pasangkan tali pengait masker pada telinga. Kemudian tekan penahan masker yang berada di bagian tengah atas masker sesuai bentuk tulang hidung. Tarik bagian bawah masker hingga menutupi dagu.

PLU :
20112001"
470, Makanan   Cemilan & Biskuit   Kue Kering , 5 Days Croissant Chocolate 60G,Rp 6.300,Rp5.000,"KOMPOSISI :
Tepung Terigu, Pasta Cokelat (27.52%). Air, Margarin (mengandung Pengawet kalium sorbat, Antioksidan Tokoferol, Pewarna makanan Alami Beta karoten CL, NO 40800. Gula Icing, Ragi, Susu Bubuk. Sirup jagung Tinggi Fruktosa, Pengemulsi Nabati (Mengandung pemanis Alami Sorbitol, Pewarna Makanan Sintetik Juning FCF CI BHA. Pati Jagung (Mengandung Pengawet Sulfit). garam, Perisa Sintetik Mentega susu. Pengemulsi Nabati dan Askorbat). Pengawet Kalsium Propionat, pengatur keasaman Asam sitrat

PERHATIAN :
Konsumsi berlebihan mempunyai efek laksatif

PLU :
20111591"
471, Makanan   Cemilan & Biskuit   Kue Kering , 5 Days Croissant Mix Berries 60G,Rp 6.300,Rp5.000,"KOMPOSISI :
Tepung Terigu, selai Buah Beri (mengandung Blueberry (1,38%). Raspberry (0,83%) dan Dark Cherry (0,55%). Pengawet kalium sorbat dan Asam sorbat, Pewarna makanan Sintetik Merah Allura C1 No 16035 dan Biru berlian FCF CI No 42090. Air, Margarin (mengandung pengawet kalium sorbat, Antioksidan Tokoferot. Pewarna makanan alami Beta Karoten CI No 40800). Gula Icing. Ragi, Susu Bubuk, Sirup Jagung tinggi Fruktosa. Pengemulsi Nabati (mengandung Pemanis Alami Sorbitol. Pewarna makanan Sintetik Kuning

PERHATIAN :
Konsumsi berlebihan mempunyai efek laksatif

PLU :
20111592"
472, Home & Living   Deterjen dan Pembersih   Deterjen   Deterjen Bubuk , So Klin Softergent Powder Purple Lavender 1.8Kg,Rp 44.000,Rp39.500,"CARA PENGGUNAAN :
Pisahkan pakaian putih, bewarna dan mudah luntur. larutkan 1/2 sendok takar ke dalam 10 liter air.Sebaiknya rendam cucian selam 30 menit. Kucek sebentar dan bilas sampai bersih.

CARA PENYIMPANAN :
Simpan ditempat kering dan tertutup.

PERHATIAN :
Jaukan dari jangkauan anak-anak.

PLU :
20099414"
473, Kesehatan & Kecantikan   Perawatan Rambut   Pewarna Rambut , Garnier Men Shampoo Color 1.0 Hitam Alami,Rp 14.700,Rp11.700,"PLU :
20111612"
474, Kesehatan & Kecantikan   Perawatan Rambut   Pewarna Rambut , Garnier Hair Color Naturals 6.64 Merah Berry,,Rp14.200,"PLU :
20111611"
475, Kesehatan & Kecantikan   Perawatan Badan   Deodorant Roll On , Rexona Deo Roll On Men Motionsense Lime Cool 45Ml,,Rp23.900,"PLU :
20111362"
476, Kesehatan & Kecantikan   Perawatan Pria   Peralatan Cukur   Razor , Gillette Razor Blue Ii Flexi,,Rp10.000,"CARA PENGGUNAAN :
Jangan menggerakkan pencukur secara horizontal/menyentuh ujung pisau dengan tangan untuk mencegah luka/terpotong.

PLU :
20111404"
477, Ibu & Anak   Popok Bayi   Size L , Baby Happy ! Baby Diapers Pants 30'S Large,Rp 55.000,Rp49.900,"PLU :
20072925"
478, Ibu & Anak   Popok Bayi   Size M , Baby Happy ! Baby Diapers Pants 34'S Medium,Rp 55.000,Rp49.900,"PLU :
20072923"
479, Kesehatan & Kecantikan   Kosmetik   Wajah   Pembersih , Glow & Lovely Bright C Glow Facial Foam Vitamin C 100G,,Rp26.300,"CARA PENGGUNAAN :
Basahi wajah, keluarkan produk pada telapak tangan dan usap hingga berbusa. Pijat dengan lembut lalu bilas.

CARA PENYIMPANAN :
Simpan di tempat yang terhindar dari panas dan sinar matahari langsung.

OTHER DETAILS :
Wajah glowing dan terasa kenyal dengan kandungan 100% natural ekstrak lemon

PLU :
20110117"
480, Home & Living   Tisu , Elleair Alcohol Wipes 22'S,Rp 19.400,Rp9.900,"PLU :
20110664"
481, Ibu & Anak   Mainan & Hobi , Pokemon Booster Pack Game Kartu Set A Series 6,,Rp20.000,"PLU :
20110247"
482, Ibu & Anak   Mainan & Hobi , Pokemon Starter Deck Game Kartu Series 6,,Rp80.000,"PLU :
20110244"
483, Ibu & Anak   Mainan & Hobi , Pokemon Booster Pack Game Kartu Set B Series 6,,Rp20.000,"PLU :
20110248"
484, Kesehatan & Kecantikan   Perawatan Diri   Popok Dewasa , Confidence Adult Pants Heavy Flow 8'S Large,Rp 75.500,Rp69.900,"PLU :
20110451"
485, Kesehatan & Kecantikan   Perawatan Pria   Badan   Deodorant Spray , Posh Deo Roll On Charcoal 50Ml,,Rp14.900,"KOMPOSISI :
Aqua, Aluminum Chlorohydrate, Caprylic/Capric Triglyceride, Isoamyl Laurate, Parfum, Niacinamide, Broussonetia Papyrifera Bark Extract, Acetyl Glucosamine, Morus Alba Bark Extract, Pyrus Malus Fruit Extract, Camellia Japonica Flower Extract, Camellia Sinensis Leaf Extract, Madecassoside, Rhus Semialata Extract, Polymethylsilsesquioxane, Charcoal Powder

PLU :
20110323"
486, Kesehatan & Kecantikan   Perawatan Rambut   Shampoo , Head & Shoulders Shampoo Anti Dandruff Anti Apek 160Ml,,Rp29.000,"PLU :
20106953"
487, Kesehatan & Kecantikan   Kesehatan   Alat Kesehatan , Skrineer Masker Smart Plus Earloop 5'S,Rp 9.900,Rp7.920,"PLU :
20110283"
488, Home & Living   Deterjen dan Pembersih   Pelicin & Pewangi Pakaian , So Klin Pewangi Pakaian Hijab Refill Green 800Ml,Rp 13.600,Rp8.900,"PLU :
20108418"
489, Minuman   Coklat Bubuk dan Kremer , Kapal Api Krim Kafe Non Dairy Creamer 50X3g,Rp 20.000,Rp17.000,"CARA PENGGUNAAN :
1. Ambil Kapal Api Krim Kafe dua sendok teh (sesuai selera)

KOMPOSISI :
Sirup Glukosa, Minyak nabati, pengemulsi nabati, penstabil fosfat, antikempal, perisa sintetik krim susu

TAKARAN PER KEMASAN :
50

TAKARAN PER SERVING :
3g

TAKARAN SAJI :
3g

PLU :
20109710"
490, Minuman   Coklat Bubuk dan Kremer , Kapal Api Krim Kafe 500g,Rp 28.500,Rp24.400,"CARA PENGGUNAAN :
1. Ambil Kapal Api Krim Kafe dua sendok teh (sesuai selera)

KOMPOSISI :
Sirup Glukosa, Minyak nabati, pengemulsi nabati, penstabil fosfat, antikempal, perisa sintetik krim susu

TAKARAN PER KEMASAN :
167

TAKARAN PER SERVING :
3g

TAKARAN SAJI :
3g

PLU :
20062323"
491, Kesehatan & Kecantikan   Perawatan Rambut   Shampoo , Head & Shoulders Shampoo Anti Dandruff Lemon Fresh 400Ml,Rp 64.600,Rp56.800,"PLU :
20109507"
492, Kesehatan & Kecantikan   Kesehatan   Suplemen Makanan Dan Vitamin   Vitamin Dewasa , Amunizer Vitamin C-1000Mg 4X4.5G,Rp 10.900,Rp9.900,"PLU :
20109556"
493, Home & Living   Deterjen dan Pembersih   Pelicin & Pewangi Pakaian , Kao Attack Fresh Up Softener Joyful Paradise 700Ml,Rp 22.100,Rp15.800,"PLU :
20109554"
494, Kesehatan & Kecantikan   Kesehatan   Obat Minum   Kepala , Bodrex Extra Obat Sakit Kepala 4'S,Rp 2.100,Rp1.800,"CARA PENGGUNAAN :
Dewasa dan anak >12 tahun : 1-2 kaplet. Anak 6-12 tahun : 1/2-1 kaplet. Diberikan 3-4 kali sehari

PLU :
20027661"
495, Ibu & Anak   Makanan & Susu Bayi   Susu Balita , S-26 Procal Gold Susu Bubuk Pertumbuhan 3 Vanilla 1.6Kg,Rp 491.200,Rp459.300,"CARA PENANGANAN :
Tutup kemasan dengan rapat setiap selesai menggunakan. Setelah dibuka, gunakanlah isinya dalam waktu 4 minggu.

CARA PENGGUNAAN :
Mencuci tangan sebelum menyiapkan susu. Mencuci gelas sampai bersih. Merebus selama 5 menit dan biarkan dalam wadah tertutup sampai saat akan dipakai. Merebus air minum sampai mendidih selama 5 menit, diamkan sampai suam-suam kuku. Konsultasikan tabel pemberian, tuangkan air suam-suam kuku ke dalam gelas sesuai jumlah yang dianjurkan. Gunakan hanya sendok takar yang tersedia dalam kemasan dan bubuk harus diratakan. Konsultasikan tabel pemberian, tambahkan bubuk susu sesuai takaran yang dianjurkan ke dalam gelas. Kocoklah hingga susu bubuk larut seluruhnya.

CARA PENYIMPANAN :
Simpan di tempat sejuk dan kering.

KOMPOSISI :
Laktosa, susu bubuk tanpa lemak, minyak nabati (kedelai, oleat bunga matahari, kelapa sawit), mengandung antioksidan, konsentrat whey protein, maltodekstrin, oligofruktosa, 14 mineral, pengemulsi, vitamin, asam lemak tak jenuh ganda rantai panjang berasal dari sel tunggal, asam arakhidonat, taurin, perisa artifisial, pengatur keasaman, 5 nukleotida, antioksidan.

PERHATIAN :
Tidak cocok untuk bayi di bawah 1 tahun.

TAKARAN PER KEMASAN :
Sajian per kemasan: 38

TAKARAN PER SERVING :
Energi total 190kkal, lemak toal 7g, asam linoleat 1617mg, asam linolenat 161mg, lemak trans 0g, protein 6g, karbohidrat total 26g, serat pangan total 1g, gula total 23g, laktosa 23g, natrium 110mg, kalium 480mg, protein 31%, Vit A 40%, Vit C 60%, Vit D 80%, Vit E 25%, Vit K 85%, Vit B1 30%, Vit B2 50%, Vit B6 30%, Vit B12 85%, niasin 30%, asam folat 40%, asam pantotenat 50%, kalsium 40%, fosfor 45%, magnesium 30%, mangan 10%, zat besi 35%, zink 15%, lodium 40%, selenium 35%.

TAKARAN SAJI :
Takaran saji: 42g

PLU :
20082250"
496, Kesehatan & Kecantikan   Kosmetik   Bibir , Vaseline Lip Therapy Rosy Lips 7g,Rp 39.900,Rp35.910,"CARA PENANGANAN :
ROSY LIPS

PLU :
20108356"
497, Home & Living   Pembasmi Kuman & Pewangi   Pembasmi Serangga , Eagle Disinfectant Spray Tea Tree 280mL,Rp 73.800,Rp53.800,"PLU :
20109100"
498, Makanan   Bahan Masakan   Bumbu Masak   Kecap & Saus , Delmonte Ketchup Saus Tomat 24X8g,Rp 5.900,Rp4.600,"KOMPOSISI :
Air, Pasta Tomat 23%, Gula, Garam, Pati Termodifikasi, Cuka, Pengawet (Natrium Benzoat & Natrium Metabisulfit)

PLU :
20009270"
499, Kesehatan & Kecantikan   Perawatan Badan   Badan   Lotion , Ariul Hand Cream Tell Me Your Wish Cute 30g,Rp 39.500,Rp27.600,"PLU :
20108980"
500, Kesehatan & Kecantikan   Kosmetik   Wajah   Pembersih , St.Ives Blackhead Clearing Scrub Green Tea & Bamboo 170g,Rp 71.600,Rp57.280,"PLU :
20108295"
501, Ibu & Anak   Perlengkapan Anak , Do Re Mi Hair & Body Wash Moisturizing 200Ml,Rp 20.900,Rp16.720,"PLU :
20108002"
502, Kesehatan & Kecantikan   Perawatan Badan   Badan   Sabun Cair , Sukin Signature Botanical Body Wash Signature Scent 250Ml,Rp 114.500,Rp90.700,"CARA PENGGUNAAN :
Usapkan pada tubuh yang basah dan pijat perlahan dengan gerakan memutar, kemudian bilas hingga bersih

PLU :
20107996"
503, Kesehatan & Kecantikan   Kesehatan   Masker   Masker Sekali Pakai , Skrineer Masker Smart Plus Head Loop 5'S,Rp 9.900,Rp7.920,"OTHER DETAILS :
Tekstur berpori membuat pernapasan lebih lega. Sesuai dengan standar teknologi medis. Mempunyai kawat masker yang fleksibel sehingga dapat disesuaikan dengan bentuk hidung. Menggunakan Teknologi modern Heater Ultrasonic, sehingga menghasilkan masker yang higienis, simetris, dan nyaman dipakai

PLU :
20107986"
504, Home & Living   Deterjen dan Pembersih   Sabun Cuci Piring , Ekonomi Pencuci Piring Power Liquid Siwak & Jeruk Limau 780Ml,Rp 13.000,Rp10.500,"PLU :
20107240"
505, Kesehatan & Kecantikan   Kesehatan   Antiseptik & Sanitasi   Disinfectant , Sos Disinfectant Spray Eucalyptus 250Ml,Rp 26.400,Rp21.500,"CARA PENGGUNAAN :
Kocok dahulu sebelum digunakan. Semprotkan ke area atau permukaan yang akan dibersihkan secara merata dengan jarak 15-20 cm dan tanpa perlu dilap.

CARA PENYIMPANAN :
Hanya untuk pemakaian luar. Mudah terbakar, jauhkan dari panas/percikan api pada tempat seperti dalam kendaraan atau dapur.

OTHER DETAILS :
Aroma Eucalyptus yang segar dapat menghilangkan bau, mengharumkan dan menyegarkan ruangan. Formulanya cepat kering sehingga tidak perlu dilap setelah disemprotkan.

PLU :
20107852"
506, Home & Living   Pembasmi Kuman & Pewangi   Pembasmi Serangga , Baygon Insektisida Spray Anti Nyamuk Zen Garden 600+75Ml,,Rp41.500,"CARA PENANGANAN :
Bila terkena kulit, mata atau selaput lendir lainya, cuci dengan air bersih yang mengalir. Bila terjadi iritasi cari pertolongan medis.

CARA PENGGUNAAN :
Kocok dahulu sebelum digunakan. Arahkan semprotan jauh dari wajah kemudian tekan tombol dengan memegang kemasan setegak mungkin.

CARA PENYIMPANAN :
Simpan di tempat aman, jauh dari jangkauan anak-anak dan hewan peliharaan.

PLU :
20106984"
507, Kesehatan & Kecantikan   Kosmetik   Wajah   Blush On , Moko Moko My Precious Blush On Pink Velvet 2.5Ml,Rp 25.000,Rp21.250,"PLU :
20106677"
508, Makanan   Bahan Masakan   Bumbu Masak   Garam & Bumbu   Tepung Bumbu , Kobe Tepung Bumbu Putih 210G,Rp 7.100,Rp3.500,"KOMPOSISI :
Tapioca Flour (78.94%), Rice Flour (15%), Flavor Enhancer (Mononatrium L-Glutamate (2.78 %), Dinatrium 5' - Inosinate (0. 075 %), Dinatrium 5' - Guanylate(0.75%)), Salt (2.78%), White Pepper Powder (0.25%), Nutrneg Essential Oil (0.06%).

OTHER DETAILS :
Formula baru pada Kobe Tepung Bumbu Putih membuat hidangan menjadi lebih renyah dan memiliki textur yang menarik, karena terdapat buliran Tepung Crystal layaknya ayam goreng ala Korea dan Taiwan. Dengan Tepung Crystal didalamnya, hasil gorengan lebih ber textur timbul, dan lebih renyah.

PLU :
10009171"
509, Kesehatan & Kecantikan   Kosmetik   Wajah , L'oreal Revitalift Crystal Micro Essence Smooth+Radiance 22Ml,Rp 66.000,Rp50.900,"PLU :
20106133"
510," Makanan   Bahan Masakan   Bumbu Masak   Bahan kue, Puding & Agar Agar ", Silky Pudding Puding Bubuk Biscuit 155G,Rp 17.100,Rp13.800,"CARA PENGGUNAAN :
1. Tuangkan silky pudding pada panci, tambahkan air 700ml. 2. Masak sambil diaduk hingga mendidih. 3. Tuangkan kedalam gelas-gelas kecil dan dinginkan. 4. Silky pudding siap dinikmati.

KOMPOSISI :
Gula, Krimer, Padatan Susu (24,2%), Ekstrak Malt, Penstabil Nabati, Pengatur Keasaman, Karagenan (5%), Garam, Perisa Sintetik, Pewarna Makanan Sintetik (Tartrazin CI 19140, Karmoisin CI 14720, Biru Berlian FCF CI 42090), Perisa Alami.

PLU :
20107542"
511," Makanan   Bahan Masakan   Bumbu Masak   Bahan kue, Puding & Agar Agar ", Nutrijell Konnyaku Jelly Powder Cincau 15G,Rp 6.000,Rp5.000,"CARA PENGGUNAAN :
1. Campurkan Nutrijell dengan satu gelas gula (200g) atau sesuai selera. 2.Tambahkan air sebanyak 3 1/2 gelas (700ml), aduk rata sambil panaskan hingga mendidih. 3. Nutrijell siap dicetak.

KOMPOSISI :
Gula, Maltodekstrin, Garam Kalium, Karagenan (14%), Konnyaku Bubuk, Kalsium Laktat, Frukto Oligosakarida (FOS), Pengatur Keasaman, Perisa Sintetik, Ekstrak Cincau (5%), Penstabil Nabati, Pewarna Makanan Alami Karton Tanaman CI 77266, Pewarna Makanan Sintetik (Tartrazin CI 19140, Karmoisin CI 14720, Biru Berlian FCF CI 42090), Anti Kempal, Vitamin D (Mengandung Antioksidan Tokoferol).

PLU :
20031946"
512," Makanan   Bahan Masakan   Bumbu Masak   Bahan kue, Puding & Agar Agar ", Silky Pudding Puding Bubuk Peach 155G,Rp 17.100,Rp13.800,"CARA PENGGUNAAN :
1. Tuangkan silky pudding pada panci, tambahkan air 700ml. 2. Masak sambil diaduk hingga mendidih. 3. Tuangkan kedalam gelas-gelas kecil dan dinginkan. 4. Silky pudding siap dinikmati.

KOMPOSISI :
Gula, Padatan Susu (36%), Krimer, Penstabil Nabati, Pengatur Keasaman, Karagenan (6%), Perisa Sintetik, Garam, Pewarna Makanan Sintetik (Ponceau 4R CI 16255, Kuning FCF CI 15985)

PLU :
20107541"
513, Makanan   Bahan Kue   Cokelat Masak & Cokelat Bubuk , Tulip Milk Chocolate Compound 250G,Rp 23.600,Rp21.000,"KOMPOSISI :
Lemak nabati, gula, susu bubuk, pengemulsi lesitin kedelai, perisa sintetik (Vanilla, Susu)

TAKARAN SAJI :
250g

PLU :
20071471"
514, Kesehatan & Kecantikan   Perawatan Badan   Badan   Cologne & Parfum , Enchanteur Paris Eau De Toilette Belle Amour 50Ml,Rp 137.500,Rp112.500,"PLU :
20107641"
515, Makanan   Bahan Kue   Cokelat Masak & Cokelat Bubuk , Tulip Dark Chocolate Compound 250G,Rp 22.600,Rp20.000,"KOMPOSISI :
Lemak nabati, gula, cocoa bubuk, pengemulsi lesitin kedelai, perisa sintetik vanilla

TAKARAN SAJI :
250g

PLU :
20071457"
516, Kesehatan & Kecantikan   Kesehatan   Antiseptik & Sanitasi   Antiseptik , Aiken Antiseptic Liquid 250Ml,Rp 49.600,Rp41.600,"PLU :
20107639"
517, Kesehatan & Kecantikan   Perawatan Badan   Badan   Cologne & Parfum , Enchanteur Paris Eau De Toilette Mon Amie 50Ml,Rp 137.500,Rp112.500,"PLU :
20107642"
518, Kesehatan & Kecantikan   Kosmetik   Bibir   Lipstik , Maybelline Sensational Liquid Matte 11 Made Easy,Rp 69.000,Rp43.900,"OTHER DETAILS :
Formula yang sangat nyaman untuk di gunakan seharian. Instant Matte Hasil matte seketika dengan warna intens hanya dalam satu kali swipe (pulasan)

PLU :
20107415"
