,Catégorie,Produit,Prix Habituel,Prix,Description
10, Produk Segar   Es Krim , Wall's Ice Cream Paddle Pop Rainbow Power 55Ml,,Rp3.000,"KOMPOSISI :
Air, Gula pasir, Sirup Glukosa, Minyak Nabati, Padatan Susu (Bubuk Whey, Susu Skim Bubuk ), Maltodekstrin, Pemantap (Nabati), Pengelmusi (Nabati), Perisa Identik Alami Karamel (Mengandung Pewarna Karamel III), Pewarna ( Kamoisin CI 14720, Tartrazin CI 19140, Biru Berlian CI 42090 )

OTHER DETAILS :
Es krim dengan warna-warni pelangi rasa Karamel menyegarkan ini akan mengguncang dunia petualanganmu!

TAKARAN PER KEMASAN :
Sajian per kemasan: 1

TAKARAN PER SERVING :
kalori 70 kkal, lemak jenuh 4 g, karbohidrat 1 g

TAKARAN SAJI :
Takaran saji: 55ml

PLU :
20035518"
11, Makanan   Sarapan   Selai & Olesan , Ovomaltine Crunchy Cream 230G,Rp 53.000,Rp42.500,"CARA PENGGUNAAN :
Oleskan secara merata Ovomaltine Crunchy Cream pada selembar Roti Tawar, dan siap dihidangkan

CARA PENYIMPANAN :
Simpan ditempat yang sejuk dan kering. Jangan disimpan di lemari es.

KOMPOSISI :
Ovomaltine Bubuk 33%, Ekstrak barley Malt, Susu Skim kental, serum susu kental, 13.3% kako bubuk rendah lemak, gula, fruktosa, mineral, minyak rapeseed, Vitamin A,E,C, thiamin, riboflavin, niasin, B6, asam folat, B12, biotin, asam pantotenat, garam, perisa sintetik vanila, kacang Hazel, pengemulsi nabati, penstabil fosfat, minyak biji bunga matahari.

OTHER DETAILS :
Ovomaltine crunchy cream with malty crunchy pieces & cocoa.

PERHATIAN :
Jauhkan dari sinar matahari langsung.

TAKARAN PER KEMASAN :
11

TAKARAN PER SERVING :
20g

TAKARAN SAJI :
20g

PLU :
20109980"
12, Produk Segar   Aneka Roti   Roti Tawar , Mr.Bread Roti Tawar Potongan Lebih Tebal,,Rp15.500,"CARA PENYIMPANAN :
Disimpan di tempat sejuk

KOMPOSISI :
Tepung Terigu (52,74%), Es, Air, Margarin (Mengandung Pengawet Kalium Sorbat), Pewarna Alami (Kurkumin Cl.75300 dan Ekstrak anato Cl No.75120)), Gula (Mengandung Pengawet Sulfit), Lemak Hewani, Susu Bubuk Full Cream, Ragi, Garam, Pengawet Klasium Propionat, Perlakuan Tepung (Mengandung Antioksidan Asam Askorbat), Pengemulsi Nabati.

PLU :
20117083"
13, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Duo Custard Pisang & Cokelat,,Rp4.500,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung terigu, Air, Custard Pisang (mengandung potassium sorbate 0.12%, buah pisang 10%), Pasta Cokelat, Gula Pasir, Tepung Kentang, Tepung Gluten, Lemak Peroti (mengandung antioksidan BHA), Margarin, Ragi, Pengelmulsi, Susu Skim Bubuk, Garam, Bubuk whey, Pengawet Kalsium Propionat, Perisa Artifisial Vanila, Premix Vitamin dan Mineral, Perlakuan Tepung.

OTHER DETAILS :
Roti Manis

TAKARAN PER KEMASAN :
1

TAKARAN SAJI :
50g

PLU :
20100666"
14, Produk Segar   Aneka Roti   Roti Manis , Arnon Roti Manis Choco Roll,Rp 7.000,Rp6.000,"CARA PENANGANAN :
Simpan di tempat yang kering (tidak lembab dan tidak terkena sinar matahari langsung)

CARA PENYIMPANAN :
Suhu Ruang

KOMPOSISI :
Tepung Terigu, Gula Pasir, Margarine, Minyak Sayur, Ragi, Telur, Kalsium Propionat, Air, Pasta Cokelat.

OTHER DETAILS :
Roti Lapis Selai Cokelat 60g

PLU :
20099290"
15, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Taro,,Rp4.000,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung terigu, Air, Lemak Reroti (mengandung antioksidan BHA), Gula Pasir, Sirup Fruktosa, Tepung Kentang, Susu Kental Manis, Perisa Artifisial (Taro, Vanila), Ragi, Tepung Gluten, Margarin, Pengemulsi, Susu Skim Bubuk, Garam, Bubuk Whey, Pengawet (Kalsium Propionat, Kalium Sorbat), Premiks Vitamin dan Mineral, Perlakuan Tepung.

PERHATIAN :
Jangan Diterima Bila Kemasan Rusak

TAKARAN PER KEMASAN :
Sajian per kemasan: 1

TAKARAN SAJI :
Takaran saji: 50g

PLU :
20094695"
16, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Moka,,Rp4.000,"KOMPOSISI :
Tepung terigu, Air, Lemak Reroti (mengandung antioksidan BHA), Gula Pasir, Susu Kental Manis, Sirup Fruktosa, Margarin, Tepung Kentang, Ragi, Tepung Gluten, Pengemulsi, Susu Skim Bubuk, Garam, Kopi Bubuk (0.1%), Perisa Artifisial (Moka, Vanila, Susu), Pengawet (Kalsium Propionat, Kalium Sorbat), Premiks Vitamin dan Mineral, Perlakuan Tepung.

PERHATIAN :
Simpan di Tempat Sejuk dan Kering

TAKARAN PER KEMASAN :
Sajian per kemasan : 1

TAKARAN SAJI :
Takaran saji : 50g

PLU :
20091811"
17, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Keju,,Rp4.000,"KOMPOSISI :
Tepung terigu, Air, Lemak Reroti (mengandung antioksidan BHA), Gula Pasir, Keju (3,4%), Sirup Fruktosa, Tepung Kentang, Ragi, Tepung Gluten, Bubuk Whey, Margarin Pengemulsi, Susu Skim Bubuk, Garam, Bubuk Keju, Perisa Artifisial (Vanila, Keju, Susu), Pengawet (Kalsium Propionat, Kalium Sorbat), Premiks Vitamin dan Mineral, Perlakuan Tepung.

PERHATIAN :
Jangan Diterima Bila Kemasan Rusak

TAKARAN PER KEMASAN :
Sajian per kemasan: 1

TAKARAN PER SERVING :
Energi total 190kkal, energi dari lemak 70kkal, lemak total 8g, lemak jenuh 4.5g, lemak trans 0g, kolesterol 0g, protein 5g, karbohidrat total 24g, gula 6g, serat pangan 4g, natrium 240mg.

TAKARAN SAJI :
Takaran saji : 50g

PLU :
20090501"
18, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Jagung Manis,,Rp4.000,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung Terigu, Gluten, Tepung Kentang, Air, Gula Pasir, Lemak roti Nabati, Margarine,

PERHATIAN :
Jangan Terkena Sinar Matahari Langsung

TAKARAN PER KEMASAN :
50 Gram

TAKARAN SAJI :
50 Gram

PLU :
20070038"
19, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Vanila,,Rp4.000,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung Terigu, Gluten, Tepung Kentang, Air, Gula Pasir, Lemak roti Nabati, Margarine,

OTHER DETAILS :
PRIME BREAD ROTI MANIS VANILLA

PERHATIAN :
Jangan Terkena Sinar Matahari Langsung

TAKARAN PER KEMASAN :
50 Gram

TAKARAN SAJI :
50 Gram

PLU :
20070039"
20, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Cokelat,,Rp4.000,"CARA PENYIMPANAN :
SIMPAN DI TEMPAT SEJUK DAN KERING

KOMPOSISI :
Tepung Terigu, Gluten, Tepung Kentang,

PERHATIAN :
JANGAN TERKENA SINAR MATAHARI LANGSUNG

TAKARAN PER KEMASAN :
50 Gram

TAKARAN SAJI :
50 Gram

PLU :
20070041"
21, Produk Segar   Aneka Roti   Roti Manis , Sari Roti Roti Manis Klasik Single Krim Messes,Rp 4.000,Rp3.500,"KOMPOSISI :
Telur, tepung terigu (gluten), gula pasir, Cokelat Meses, Margarin, Pewarna alami beta karoten CI40800, Telur, Sirup tinggi Fruktosa, ragi, susu, lemak nabari, susu kental manis, perisa sintetik susu, kalsim propionat, perisa sintetik vanila, pengawet kalium sorbat.

PLU :
20118139"
22, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Duo Custard Kacang Hijau & Cokelat Chip,,Rp4.500,"KOMPOSISI :
Tepung Terigu, Air, Pasta Isian Roti Rasa Kacang Hijau 13.74% (Mengandung Kacang Hijau 15%, Pengawet Kalium Sorbat, Pewarna Sintetik (Tartrazin Cl.No. 19140. Biru Berlian FCF CI. No. 42090, Merah Allura CI. No. 16035) Cokelat Chip (7.63%) (Mengandung laktosa dan susu), Gula (Mengandung pengawet Sulfit), Serpihan Kentang (Mengandung antioksidan askorbil palmitat), Tepung Gluten, Lemak Nabati (mengandung antioksidan BHA), Pengganti Minyak Mentega (mengandung antioksidan BHA, pewarna alami.

PLU :
20116708"
23, Makanan   Bahan Kue   Gula & Tepung , Kobe Tepung Roti 200G,Rp 12.500,Rp8.900,"OTHER DETAILS :
KOBE Breadcrumbs diformulasikan demi memastikan tingkat kerenyahan yang terbaik. Sajian gorengan Anda dapat menjadi lebih renyah dan gurih dalam waktu yang lebih lama.

PLU :
20094731"
24," Makanan   Bahan Masakan   Bumbu Masak   Bahan kue, Puding & Agar Agar ", Koepoe Koepoe Baking Powder Btl 45G,Rp 6.900,Rp5.900,"PLU :
10002893"
25," Makanan   Bahan Masakan   Bumbu Masak   Bahan kue, Puding & Agar Agar ", Koepoe Koepoe Soda Kue Btl 81G,Rp 5.100,Rp4.100,"PLU :
10002894"
26, Produk Segar   Aneka Roti   Roti Manis , Mr.Bread Roti Kasur 4'S Choco Banana,,Rp13.500,"CARA PENANGANAN :
Agar lebih lama, simpan dalam lemari es setelah pembelian.

CARA PENYIMPANAN :
Simpan di tempat sejuk dan kering.

KOMPOSISI :
Tepung terigu, gula, garam, susu bubuk, lemak reroti, pengemulsi, ragi, kalsium propinat, pasta coklat, custard pisang.

TAKARAN PER KEMASAN :
Sajian per kemasan : 2

TAKARAN PER SERVING :
Energi total 12g, lemak jenuh 6g, kolesterol 0mg, protein 7g, karbohidrat total 47g, gula 9g, serat pangan 6g, natrium 180mg,

TAKARAN SAJI :
Takara saji : 90g

PLU :
20074955"
27, Produk Segar   Aneka Roti   Roti Manis , Mr.Bread Roti Kasur 4'S Coklat Keju,,Rp13.500,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
tepung terigu, air, es, keju spreadable, pasta cokelat, air , margarin, susu lemak nabati, keju cheddar, lemak reroti, ragi, garam, perlakuan tepung, dan pengawet kalsium propionat.

PERHATIAN :
Jangan Diterima Bila Kemasan Rusak

TAKARAN SAJI :
180 gram

PLU :
20069665"
28, Produk Segar   Aneka Roti   Roti Manis , Mr.Bread Roti Kasur 4'S Coklat Susu,,Rp13.500,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung terigu, air, es, krim susu, pasta cokelat, gula, susu bubuk, ragi, lemak reroti nabati, garam, perlakuan tepung dan pengawet kalsium propionat.

PERHATIAN :
Jangan Diterima Bila Kemasan Rusak

TAKARAN SAJI :
180 gram

PLU :
20070168"
29, Produk Segar   Aneka Roti   Roti Manis , Mr.Bread Roti Kasur 4'S Pandan Coklat Srikaya,,Rp13.500,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung Terigu,air, es, antioksidan, perisa pandan sintetik, pasta cokelat, pasta sarikaya, gula pasir, margarin, santan kelapa bubuk, ragi, lemak reroti, garam, pengembang, dan pengawet kalsium propionat.

PERHATIAN :
Jangan Diterima Bila Kemasan Rusak

TAKARAN SAJI :
180 gram

PLU :
20041084"
30, Makanan   Cemilan & Biskuit   Kacang Kacangan , Mr.P Kacang Madu 80G,,Rp14.800,"KOMPOSISI :
Kacang, garam, madu, minyak nabati, gula halus

TAKARAN PER KEMASAN :
sajian per kemasan 3

TAKARAN PER SERVING :
Energi total 160kkal, energi dari lemak 110kkal, lemak total 12g, lemak jenuh 2g, kolesterol 0mg, sodium 90mg, karbohidrat total 5g, serat pangan 1g, gula 3g, protein 8g, vitamin A 0%, kalsium 0%, vitamin C 0%, iron 2%

TAKARAN SAJI :
Takaran saji 27g

PLU :
10003507"
